X0,Y0,X1,Y1
396,128.333,209.297,119.7560
397,127.456,209.826,119.8279
398,145.000,210.354,119.8992
399,127.112,210.883,119.9697
400,145.101,211.411,120.0396
401,144.725,211.940,120.1087
402,124.186,212.468,120.1772
403,108.333,212.997,120.2449
404,130.985,213.526,120.3119
405,123.333,214.054,120.3783
406,107.702,214.583,120.4439
407,126.007,215.111,120.5088
408,132.348,215.640,120.5731
409,108.333,216.168,120.6366
410,121.471,216.697,120.6994
411,133.333,217.225,120.7615
412,142.803,217.754,120.8229
413,137.904,218.282,120.8837
414,131.212,218.811,120.9437
415,97.128,219.339,121.0030
416,116.616,219.868,121.0616
417,132.197,220.396,121.1195
418,135.000,220.925,121.1767
419,132.247,221.453,121.2332
420,133.636,221.982,121.2890
421,147.658,222.511,121.3441
422,135.000,223.039,121.3986
423,137.708,223.568,121.4523
424,133.662,224.096,121.5052
425,125.609,224.625,121.5575
426,125.265,225.153,121.6091
427,100.420,225.682,121.6600
428,106.313,226.210,121.7102
429,109.583,226.739,121.7597
430,110.360,227.267,121.8085
431,105.884,227.796,121.8566
432,108.333,228.324,121.9040
433,106.834,228.853,121.9507
434,100.000,229.381,121.9966
435,86.761,229.910,122.0419
436,94.129,230.438,122.0865
437,90.862,230.967,122.1304
438,108.333,231.495,122.1735
439,106.929,232.024,122.2160
440,94.167,232.553,122.2578
441,89.176,233.081,122.2988
442,87.828,233.610,122.3392
443,93.390,234.138,122.3789
444,85.795,234.667,122.4178
445,87.358,235.195,122.4561
446,77.184,235.724,122.4937
447,76.667,236.252,122.5305
448,76.667,236.781,122.5667
449,80.748,237.309,122.6021
450,80.739,237.838,122.6369
451,76.667,238.366,122.6709
452,84.280,238.895,122.7043
453,75.956,239.423,122.7369
454,76.667,239.952,122.7688
455,77.128,240.480,122.8001
456,83.864,241.009,122.8306
457,76.667,241.538,122.8605
458,72.330,242.066,122.8896
459,65.871,242.595,122.9180
460,65.859,243.123,122.9458
461,65.000,243.652,122.9728
462,79.583,244.180,122.9991
463,71.667,244.709,123.0247
464,74.242,245.237,123.0497
465,76.070,245.766,123.0739
466,72.645,246.294,123.0974
467,71.667,246.823,123.1202
468,70.909,247.351,123.1424
469,72.225,247.880,123.1638
470,57.582,248.408,123.1845
471,56.667,248.937,123.2045
472,52.197,249.465,123.2238
473,52.188,249.994,123.2424
474,52.178,250.523,123.2603
475,51.667,251.051,123.2775
476,47.159,251.580,123.2940
477,52.150,252.108,123.3098
478,51.667,252.637,123.3249
479,51.667,253.165,123.3393
480,51.667,253.694,123.3530
481,51.667,254.222,123.3660
482,47.102,254.751,123.3783
483,52.803,255.279,123.3899
484,51.667,255.808,123.4008
485,47.074,256.336,123.4110
486,46.667,256.865,123.4204
487,46.667,257.393,123.4292
488,51.288,257.922,123.4373
489,40.492,258.450,123.4447
490,46.667,258.979,123.4514
491,46.199,259.508,123.4573
492,46.667,260.036,123.4626
493,46.667,260.565,123.4672
494,46.237,261.093,123.4710
495,40.000,261.622,123.4742
496,51.364,262.150,123.4767
497,46.275,262.679,123.4784
498,46.951,263.207,123.4795
499,51.392,263.736,123.4799
500,46.932,264.264,123.4795
501,46.667,264.793,123.4785
502,40.000,265.321,123.4767
503,40.000,265.850,123.4743
504,40.000,266.378,123.4711
505,40.000,266.907,123.4673
506,40.000,267.435,123.4627
507,46.667,267.964,123.4575
508,40.253,268.492,123.4515
509,40.000,269.021,123.4449
510,40.000,269.550,123.4375
511,40.000,270.078,123.4294
512,46.465,270.607,123.4207
513,40.000,271.135,123.4112
514,46.490,271.664,123.4010
515,40.000,272.192,123.3902
516,40.000,272.721,123.3786
517,33.472,273.249,123.3663
518,40.000,273.778,123.3533
519,40.000,274.306,123.3397
520,33.333,274.835,123.3253
521,40.000,275.363,123.3102
522,40.000,275.892,123.2944
523,40.000,276.420,123.2779
524,40.000,276.949,123.2607
525,40.000,277.477,123.2429
526,33.333,278.006,123.2243
527,33.333,278.535,123.2050
528,33.333,279.063,123.1850
"","",279.592,123.1643
"","",280.120,123.1429
"","",280.649,123.1208
"","",281.177,123.0980
"","",281.706,123.0745
"","",282.234,123.0503
"","",282.763,123.0254
"","",283.291,122.9998
"","",283.820,122.9735
"","",284.348,122.9464
"","",284.877,122.9187
"","",285.405,122.8903
"","",285.934,122.8612
"","",286.462,122.8314
"","",286.991,122.8008
"","",287.520,122.7696
"","",288.048,122.7377
"","",288.577,122.7051
"","",289.105,122.6717
"","",289.634,122.6377
"","",290.162,122.6030
"","",290.691,122.5675
"","",291.219,122.5314
"","",291.748,122.4946
"","",292.276,122.4570
"","",292.805,122.4188
"","",293.333,122.3798
"","",293.862,122.3402
"","",294.390,122.2999
"","",294.919,122.2588
"","",295.447,122.2170
"","",295.976,122.1746
"","",296.505,122.1314
"","",297.033,122.0876
"","",297.562,122.0430
"","",298.090,121.9978
"","",298.619,121.9518
"","",299.147,121.9051
"","",299.676,121.8578
"","",300.204,121.8097
"","",300.733,121.7609
"","",301.261,121.7115
