Wavelength,Intensity
659.706,3800.12
660.035,3715.25
660.364,3859.38
660.693,3744.62
661.021,3808.25
661.35,3723.25
661.678,3801.62
662.007,3765.25
662.335,3802.75
662.663,3757.62
662.992,3806.5
663.32,3756.12
663.648,3801.62
663.976,3739.75
664.304,3797.88
664.633,3739.38
664.961,3805.62
665.288,3767.12
665.616,3799.38
665.944,3740.38
666.272,3814.38
666.6,3758.38
666.927,3806.5
667.255,3753.12
667.583,3817.12
667.91,3733.88
668.238,3782.38
668.565,3757.38
668.892,3804.62
669.22,3738
669.547,3816.88
669.874,3742
670.201,3803.88
670.528,3746.12
670.855,3800.12
671.182,3726.12
671.509,3792
671.836,3717.5
672.163,3801.25
672.49,3710
672.817,3791.88
673.143,3741.75
673.47,3780.88
673.797,3747.62
674.123,3782.88
674.45,3753.12
674.776,3765.38
675.102,3744
675.429,3777
675.755,3712.12
676.081,3784.38
676.407,3724.38
676.733,3754.25
677.059,3739.75
677.385,3762.5
677.711,3735.12
678.037,3784
678.363,3744
678.689,3782.88
679.015,3743.5
679.34,3784.25
679.666,3732.88
679.992,3772.12
680.317,3715.12
680.643,3779.75
680.968,3713.88
681.293,3797.88
681.619,3728.88
681.944,3783.25
682.269,3720
682.594,3777.25
682.92,3721
683.245,3787.25
683.57,3696.12
683.895,3773.88
684.219,3711.38
684.544,3780.75
684.869,3725.38
685.194,3789
685.519,3692.38
685.843,3783.5
686.168,3744.62
686.492,3790.5
686.817,3685.88
687.141,3780.25
687.466,3750.25
687.79,3762.25
688.114,3694.5
688.438,3790
688.763,3725.88
689.087,3793.25
689.411,3723.62
689.735,3772.5
690.059,3720
690.383,3794.12
690.706,3720.25
691.03,3762
691.354,3712.38
691.678,3804.38
692.001,3728.5
692.325,3769.62
692.648,3718.62
692.972,3769.62
693.295,3731.38
693.619,3790
693.942,3740.88
694.265,3780.88
694.588,3752.62
694.912,3790.5
695.235,3722.12
695.558,3780.88
695.881,3746.88
696.204,3765.12
696.527,3715.12
696.849,3799.38
697.172,3699.12
697.495,3771.12
697.818,3758.62
698.14,3821.5
698.463,3727.62
698.785,3784
699.108,3726.38
699.43,3794.75
699.753,3712.75
700.075,3836.5
700.397,3724.75
700.719,3784.62
701.042,3728.62
701.364,3803.25
701.686,3718.5
702.008,3821.75
702.33,3710.88
702.652,3778.88
702.973,3715.12
703.295,3773.88
703.617,3749.38
703.939,3784.5
704.26,3720.75
704.582,3761.12
704.903,3715.38
705.225,3765.5
705.546,3726.88
705.867,3796.38
706.189,3714.25
706.51,3764.88
706.831,3726.38
707.152,3771.38
707.473,3699.12
707.794,3782.88
708.115,3744.12
708.436,3780.75
708.757,3729.12
709.078,3781.88
709.399,3729.25
709.719,3771.75
710.04,3721.12
710.361,3795.62
710.681,3707.12
711.002,3787.5
711.322,3724.62
711.643,3794.25
711.963,3736.5
712.283,3798.5
712.603,3716.75
712.924,3789.38
713.244,3723.25
713.564,3771.25
713.884,3751
714.204,3815
714.524,3706.12
714.844,3763
715.163,3739.38
715.483,3807
715.803,3726.88
716.122,3787.38
716.442,3705.62
716.762,3784.12
717.081,3716.88
717.4,3782.75
717.72,3709
718.039,3817.75
718.358,3761.62
718.678,3783.62
718.997,3727.38
719.316,3777
719.635,3727
719.954,3776.5
720.273,3812.75
720.592,3785.12
720.911,3751.5
721.229,3784.75
721.548,3710.88
721.867,3776.5
722.185,3733.88
722.504,3777.75
722.822,3706.5
723.141,3812.75
723.459,3702
723.778,3785.5
724.096,3713
